unsaved.body	Hay cambios en esta página que no se han guardado. Si sale ahora, se perderán.
unsaved.title	¿Salir sin guardar?
unsaved.leave	Salir de la página
unsaved.stay	Quedarme
err.network	No pudimos conectar con Meridian Online. Compruebe su conexión e inténtelo de nuevo.
err.401	Su sesión ha terminado. Inicie sesión de nuevo.
err.403	No tiene acceso a esta función.
err.404	No pudimos encontrar lo que buscaba.
err.409	Esto ya se hizo. Actualice la página para ver lo más reciente.
err.423	Esta cuenta está restringida. Llámenos al número que aparece al dorso de su tarjeta.
err.429	Demasiadas solicitudes. Espere un momento e inténtelo de nuevo.
err.5xx	Algo salió mal de nuestro lado. No se ha cambiado nada en sus cuentas.
err.generic	Algo salió mal. Inténtelo de nuevo.
accounts.actions.trigger	Acciones de la cuenta
accounts.back	Cuentas
accounts.detail.detailsTitle	Detalles
accounts.detail.paymentDue	Pago pendiente
accounts.detail.minimumPayment	Pago mínimo
accounts.detail.rate	Tasa
accounts.detail.opened	Abierta
accounts.detail.statementCycle	Ciclo del estado de cuenta
accounts.detail.statementCycleValue	Día {0} de cada mes
accounts.detail.paperless	Estados de cuenta
accounts.detail.paperlessOn	Sin papel
accounts.detail.paperlessOff	Por correo
accounts.detail.goPaperless	Pasar a sin papel
accounts.detail.tabTransactions	Transacciones
accounts.detail.tabStatements	Estados de cuenta
accounts.detail.viewStatements	Ver los estados de cuenta de esta cuenta
accounts.detail.tabInterest	Intereses
accounts.accountList.title	Cuentas
accounts.accountList.lede	Los saldos se actualizan cada vez que abre esta página.
accounts.accountList.section	Cuentas de depósito y de crédito
accounts.accountList.caption	Cuentas
accounts.accountList.empty	Todavía no tiene cuentas con nosotros
accounts.accountList.col.nickname	Cuenta
accounts.accountList.col.type	Tipo
accounts.accountList.col.availableBalanceMinor	Disponible
accounts.accountList.col.currentBalanceMinor	Actual
accounts.disputeTransaction.title	Disputar una transacción
accounts.disputeTransaction.lede	Abonaremos el importe a su cuenta mientras investigamos, normalmente en 2 días hábiles.
accounts.dispute.reason	Motivo
accounts.dispute.detail	Cuéntenos qué pasó
action.cancel	Cancelar
accounts.disputeTransaction.submit	Enviar disputa
accounts.disputeTransaction.reason.unauthorised	Yo no hice esta compra
accounts.disputeTransaction.reason.duplicate	Me cobraron dos veces
accounts.disputeTransaction.reason.amount	El importe es incorrecto
accounts.disputeTransaction.reason.not-received	No recibí lo que pagué
accounts.disputeTransaction.saved	Disputa enviada. Le enviaremos una referencia por correo electrónico en 24 horas.
accounts.exportTransactions.title	Descargar transacciones
accounts.exportTransactions.body	Descarga las transacciones que coinciden con sus filtros actuales en un archivo CSV. Los archivos se abren en la mayoría de las hojas de cálculo.
accounts.exportTransactions.confirm	Descargar CSV
accounts.interestSummary.title	Intereses
accounts.interestSummary.p1	Los intereses se calculan a diario y se pagan el último día hábil de cada mes. Las cifras del año hasta la fecha aparecen en su estado de cuenta y en su 1099-INT en enero.
accounts.pending.title	Pendientes
accounts.pending.less	Mostrar menos
accounts.pending.more	Mostrar todas ({0})
accounts.renameAccount.title	Renombrar cuenta
accounts.renameAccount.body	Los apodos solo se muestran en Meridian Online y en la aplicación móvil. Los estados de cuenta conservan el nombre del producto.
accounts.renameAccount.confirm	Guardar nombre
accounts.routing.title	Números de cuenta y de ruta
